Krok czasowy;Powierzchnia lewa;Powierzchnia prawa
1059;41,14;240,76
1060;41,15;240,76
1061;41,17;240,77
1062;41,18;240,78
1063;41,20;240,79
1064;41,21;240,79
1065;41,22;240,80
1066;41,24;240,81
1067;41,25;240,81
1068;41,26;240,82
1069;41,28;240,83
1070;41,29;240,83
1071;41,30;240,84
1072;41,32;240,85
1073;41,33;240,85
1074;41,34;240,86
1075;41,36;240,87
1076;41,37;240,87
1077;41,38;240,88
1078;41,40;240,89
1079;41,41;240,89
1080;41,42;240,90
1081;41,44;240,90
1082;41,45;240,91
1083;41,46;240,92
1084;41,48;240,92
1085;41,49;240,93
1086;41,50;240,94
1087;41,52;240,94
1088;41,53;240,95
1089;41,54;240,95
1090;41,56;240,96
1091;41,57;240,97
1092;41,58;240,97
1093;41,59;240,98
1094;41,61;240,99
1095;41,62;240,99
1096;41,63;241,00
1097;41,65;241,00
1098;41,66;241,01
1099;41,67;241,02
1100;41,69;241,02
1101;41,70;241,03
1102;41,71;241,03
1103;41,72;241,04
1104;41,74;241,04
1105;41,75;241,05
1106;41,76;241,06
1107;41,78;241,06
1108;41,79;241,07
1109;41,80;241,07
1110;41,81;241,08
1111;41,83;241,08
1112;41,84;241,09
1113;41,85;241,10
1114;41,87;241,10
1115;41,88;241,11
1116;41,89;241,11
1117;41,90;241,12
1118;41,92;241,12
1119;41,93;241,13
1120;41,94;241,13
1121;41,95;241,14
1122;41,97;241,14
1123;41,98;241,15
1124;41,99;241,15
1125;42,01;241,16
1126;42,02;241,17
1127;42,03;241,17
1128;42,04;241,18
1129;42,06;241,18
1130;42,07;241,19
1131;42,08;241,19
1132;42,09;241,20
1133;42,11;241,20
1134;42,12;241,21
1135;42,13;241,21
1136;42,14;241,22
1137;42,15;241,22
1138;42,17;241,23
1139;42,18;241,23
1140;42,19;241,24
1141;42,20;241,24
1142;42,22;241,25
1143;42,23;241,25
1144;42,24;241,26
1145;42,25;241,26
1146;42,27;241,27
1147;42,28;241,27
1148;42,29;241,27
1149;42,30;241,28
1150;42,31;241,28
1151;42,33;241,29
1152;42,34;241,29
1153;42,35;241,30
1154;42,36;241,30
1155;42,38;241,31
1156;42,39;241,31
1157;42,40;241,32
1158;42,41;241,32
1159;42,42;241,33
1160;42,44;241,33
1161;42,45;241,33
1162;42,46;241,34
1163;42,47;241,34
1164;42,48;241,35
1165;42,50;241,35
1166;42,51;241,36
1167;42,52;241,36
1168;42,53;241,37
1169;42,54;241,37
1170;42,56;241,37
1171;42,57;241,38
1172;42,58;241,38
1173;42,59;241,39
1174;42,60;241,39
1175;42,61;241,40
1176;42,63;241,40
1177;42,64;241,40
1178;42,65;241,41
1179;42,66;241,41
1180;42,67;241,42
